hm	hc	α	c	v	r	z	pd	w	obj	status
3.0	1.5	0.15	1.0	0.2	0.5	0.03577327218714748	10.798503501035997	2.5463645807503044	21.634791509468926	LOCALLY_SOLVED
3.5	1.5	0.15	1.0	0.2	0.5	0.03581828241871233	10.823966789433513	2.534309786208097	21.413506153246544	LOCALLY_SOLVED
4.0	1.5	0.15	1.0	0.2	0.5	0.035862594950605134	10.849433485855851	2.5222586808173886	21.193345216555983	LOCALLY_SOLVED
3.0	0.5	0.1	1.5	0.2	0.5	-0.019852211293594733	11.025177534751823	2.783531395768578	20.901156325348207	LOCALLY_SOLVED
3.5	0.5	0.1	1.5	0.2	0.5	-0.02001059876007122	11.042089435733617	2.7755106068967157	20.75537354916449	LOCALLY_SOLVED
4.0	0.5	0.1	1.5	0.2	0.5	-0.020170496865014934	11.059002245480716	2.767491379371092	20.610091325970558	LOCALLY_SOLVED
3.0	1.0	0.1	1.5	0.2	0.5	-0.020010598760071878	10.992089435733618	2.7755106068967175	20.755373549164496	LOCALLY_SOLVED
3.5	1.0	0.1	1.5	0.2	0.5	-0.020170496865015517	11.009002245480717	2.7674913793710942	20.61009132597057	LOCALLY_SOLVED
4.0	1.0	0.1	1.5	0.2	0.5	-0.020331923913064782	11.025915967011727	2.7594737242942546	20.46530966287983	LOCALLY_SOLVED
3.0	1.5	0.1	1.5	0.2	0.5	-0.02017049686501504	10.959002245480715	2.7674913793710934	20.61009132597056	LOCALLY_SOLVED
3.5	1.5	0.1	1.5	0.2	0.5	-0.02033192391306496	10.975915967011726	2.7594737242942546	20.465309662879825	LOCALLY_SOLVED
4.0	1.5	0.1	1.5	0.2	0.5	-0.02049489848127168	10.992830603319838	2.751457652866983	20.32102856711525	LOCALLY_SOLVED
3.0	0.5	0.15	1.5	0.2	0.5	-0.020413216585309747	11.059373170632597	2.7554654899205078	20.39310654362601	LOCALLY_SOLVED
3.5	0.5	0.15	1.5	0.2	0.5	-0.020659439423938063	11.084746157371535	2.743443176389282	20.17724804601129	LOCALLY_SOLVED
4.0	0.5	0.15	1.5	0.2	0.5	-0.02090922972950932	11.11012121563815	2.731424477168754	19.96251585816814	LOCALLY_SOLVED
3.0	1.0	0.15	1.5	0.2	0.5	-0.02065943942393781	11.009746157371534	2.743443176389281	20.177248046011286	LOCALLY_SOLVED
3.5	1.0	0.15	1.5	0.2	0.5	-0.02090922972950946	11.035121215638153	2.731424477168755	19.962515858168132	LOCALLY_SOLVED
4.0	1.0	0.15	1.5	0.2	0.5	-0.021162653304810604	11.060498355224139	2.7194094311625814	19.748910005723648	LOCALLY_SOLVED
3.0	1.5	0.15	1.5	0.2	0.5	-0.02090922972950934	10.960121215638152	2.731424477168754	19.962515858168135	LOCALLY_SOLVED
3.5	1.5	0.15	1.5	0.2	0.5	-0.02116265330481086	10.98549835522414	2.719409431162582	19.74891000572364	LOCALLY_SOLVED
4.0	1.5	0.15	1.5	0.2	0.5	-0.021419777446064006	11.010877585761458	2.707398077794368	19.53643051490641	LOCALLY_SOLVED
3.0	0.5	0.1	2.0	0.2	0.5	-0.07319706670562333	11.185222326013443	2.966837314343766	19.271107535108182	LOCALLY_SOLVED
