hr	hc	α	c	v	r	z	pd	w	obj	status
4.0	1.0	0.1	1.0	0.3	0.5	0.08616775725169092	10.897725822166098	2.388369440475766	22.282221269432533	LOCALLY_SOLVED
3.0	1.5	0.1	1.0	0.3	0.5	0.07610736602332255	10.822286525018393	2.4417818581676345	22.41234424748474	LOCALLY_SOLVED
3.5	1.5	0.1	1.0	0.3	0.5	0.08120069217874917	10.843513256680938	2.411053291691938	22.272312032001622	LOCALLY_SOLVED
4.0	1.5	0.1	1.0	0.3	0.5	0.08635434210363145	10.864824882668636	2.3803974635421548	22.132739360417677	LOCALLY_SOLVED
3.0	0.5	0.15	1.0	0.3	0.5	0.09126594084508083	10.935548235150936	2.3617560664568047	22.217299508261146	LOCALLY_SOLVED
3.5	0.5	0.15	1.0	0.3	0.5	0.09916786119352825	10.967770279986935	2.3159991429674878	22.008376784806345	LOCALLY_SOLVED
4.0	0.5	0.15	1.0	0.3	0.5	0.10720983768778468	11.00019674039736	2.2704205474643353	21.8004683608935	LOCALLY_SOLVED
3.0	1.0	0.15	1.0	0.3	0.5	0.09156899473437813	10.886223287128338	2.3498163894883186	21.993623699574293	LOCALLY_SOLVED
3.5	1.0	0.15	1.0	0.3	0.5	0.09950683040378473	10.918487826947358	2.3040894828826577	21.785801302577834	LOCALLY_SOLVED
4.0	1.0	0.15	1.0	0.3	0.5	0.10758570255812776	10.950958636664797	2.2585426529728525	21.578991849963465	LOCALLY_SOLVED
3.0	1.5	0.15	1.0	0.3	0.5	0.09187359607537014	10.836903893236036	2.337881719382927	21.771070888604285	LOCALLY_SOLVED
3.5	1.5	0.15	1.0	0.3	0.5	0.09984762893853748	10.869211357978259	2.292185168629833	21.56434856102063	LOCALLY_SOLVED
4.0	1.5	0.15	1.0	0.3	0.5	0.10796368660036115	10.901726969642555	2.2466704663974753	21.358637803339136	LOCALLY_SOLVED
3.0	0.5	0.1	1.5	0.3	0.5	0.01771486567723653	11.049820187048477	2.642504371446702	20.996238884778073	LOCALLY_SOLVED
3.5	0.5	0.1	1.5	0.3	0.5	0.022258027263786798	11.070842260231352	2.6116712946584566	20.85915888636754	LOCALLY_SOLVED
4.0	0.5	0.1	1.5	0.3	0.5	0.026854140636267614	11.091943629184968	2.5809046424342936	20.722535423580144	LOCALLY_SOLVED
3.0	1.0	0.1	1.5	0.3	0.5	0.017664377138195384	11.016824400575974	2.634529249730826	20.85036220767831	LOCALLY_SOLVED
3.5	1.0	0.1	1.5	0.3	0.5	0.02221932507150155	11.037862090765342	2.6037068924869318	20.713770674817898	LOCALLY_SOLVED
4.0	1.0	0.1	1.5	0.3	0.5	0.026827454434939463	11.058979531400514	2.572951365450843	20.57763536527637	LOCALLY_SOLVED
3.0	1.5	0.1	1.5	0.3	0.5	0.017612953209140948	10.983830126796365	2.6265560246510433	20.704985523089153	LOCALLY_SOLVED
3.5	1.5	0.1	1.5	0.3	0.5	0.02217973722197657	11.004883530149579	2.595744460628596	20.568882390650163	LOCALLY_SOLVED
4.0	1.5	0.1	1.5	0.3	0.5	0.026799933452584704	11.026017142177945	2.56500013582959	20.43323516661668	LOCALLY_SOLVED
3.0	0.5	0.15	1.5	0.3	0.5	0.03149667996617279	11.096652028079298	2.546235086603577	20.514097633461414	LOCALLY_SOLVED
3.5	0.5	0.15	1.5	0.3	0.5	0.0385822689267439	11.128594311071007	2.5003284889089348	20.3110559393327	LOCALLY_SOLVED
4.0	0.5	0.15	1.5	0.3	0.5	0.04579193396359596	11.160729659221337	2.4545865411565297	20.109022210544225	LOCALLY_SOLVED
