hm	hc	α	c	v	r	z	pd	w	obj	status
1.5	3.5	0.1	2.0	0.2	0.5	-0.08631317168012119	10.92522142981357	3.012737327098096	18.827797055030185	LOCALLY_SOLVED
2.0	3.5	0.1	2.0	0.2	0.5	-0.09067907999209822	10.938593923711286	3.0280899352805406	18.681064560923563	LOCALLY_SOLVED
1.0	4.0	0.1	2.0	0.2	0.5	-0.08230474649999917	10.878695907569806	2.9894008167982298	18.83548361230637	LOCALLY_SOLVED
1.5	4.0	0.1	2.0	0.2	0.5	-0.08668633090144695	10.89203807755389	3.004722907088899	18.68874623166666	LOCALLY_SOLVED
2.0	4.0	0.1	2.0	0.2	0.5	-0.09106482584474401	10.905400002785203	3.0200713474092886	18.542528405956002	LOCALLY_SOLVED
1.0	3.0	0.15	2.0	0.2	0.5	-0.08706235003423124	10.858854829812984	2.9967099449925554	18.55019743748184	LOCALLY_SOLVED
1.5	3.0	0.15	2.0	0.2	0.5	-0.09364791113009885	10.878889178955435	3.0197362109386066	18.33183799586268	LOCALLY_SOLVED
2.0	3.0	0.15	2.0	0.2	0.5	-0.10022636087424545	10.898967858649145	3.042821618058016	18.11465103862982	LOCALLY_SOLVED
1.0	3.5	0.15	2.0	0.2	0.5	-0.08763180877836717	10.80908014088843	2.9846932557772843	18.343315596887813	LOCALLY_SOLVED
1.5	3.5	0.15	2.0	0.2	0.5	-0.09424607043555099	10.829090428776652	3.0077101084982436	18.126114629624926	LOCALLY_SOLVED
2.0	3.5	0.15	2.0	0.2	0.5	-0.10085325157728509	10.849145344415504	3.0307865697297296	17.910086396674878	LOCALLY_SOLVED
1.0	4.0	0.15	2.0	0.2	0.5	-0.08820787805894102	10.759305652382611	2.972679899438766	18.13756344122505	LOCALLY_SOLVED
1.5	4.0	0.15	2.0	0.2	0.5	-0.0948510949930026	10.779291654731834	2.9956872631083713	17.92152124086163	LOCALLY_SOLVED
2.0	4.0	0.15	2.0	0.2	0.5	-0.10148726384009876	10.79932258466946	3.018754708086532	17.706652028192476	LOCALLY_SOLVED
1.0	3.0	0.1	1.0	0.3	0.5	0.03776624907220899	10.623952734477623	2.633513941024407	22.482659048586363	LOCALLY_SOLVED
1.5	3.0	0.1	1.0	0.3	0.5	0.033157435971974916	10.637197087696041	2.6486105342827693	22.322205442257548	LOCALLY_SOLVED
2.0	3.0	0.1	1.0	0.3	0.5	0.028551089897415952	10.650462949246647	2.6637364877757084	22.162260859558728	LOCALLY_SOLVED
1.0	3.5	0.1	1.0	0.3	0.5	0.037810806580214046	10.59090638638153	2.6254497288677423	22.332263914486276	LOCALLY_SOLVED
1.5	3.5	0.1	1.0	0.3	0.5	0.03318839085689754	10.60413942895873	2.6405404055366195	22.17231783748479	LOCALLY_SOLVED
2.0	3.5	0.1	1.0	0.3	0.5	0.02856842258838873	10.617394078211898	2.655660601043651	22.01288077172198	LOCALLY_SOLVED
1.0	4.0	0.1	1.0	0.3	0.5	0.03785520815340724	10.557861450835075	2.617386992601226	22.182368517548344	LOCALLY_SOLVED
1.5	4.0	0.1	1.0	0.3	0.5	0.03321911165862583	10.571083112723874	2.632471713986819	22.022930015936318	LOCALLY_SOLVED
2.0	4.0	0.1	1.0	0.3	0.5	0.028585442578535465	10.584326480210802	2.647586114037956	21.864000512979487	LOCALLY_SOLVED
1.0	3.0	0.15	1.0	0.3	0.5	0.03324959251252658	10.538028147988866	2.6244044709841146	21.87404197669425	LOCALLY_SOLVED
1.5	3.0	0.15	1.0	0.3	0.5	0.02627934193049376	10.557884316864744	2.6470784668546012	21.636600360024776	LOCALLY_SOLVED
2.0	3.0	0.15	1.0	0.3	0.5	0.019314728961592923	10.577789206596824	2.669819123436755	21.40030778121977	LOCALLY_SOLVED
1.0	3.5	0.15	1.0	0.3	0.5	0.03329485078025547	10.488448254800254	2.6123063476185817	21.651647007652063	LOCALLY_SOLVED
1.5	3.5	0.15	1.0	0.3	0.5	0.026293358174947278	10.508278739050862	2.6349672024538244	21.415347638789946	LOCALLY_SOLVED
2.0	3.5	0.15	1.0	0.3	0.5	0.01929743547837652	10.528158280710873	2.657695264056558	21.180197297922145	LOCALLY_SOLVED
1.0	4.0	0.15	1.0	0.3	0.5	0.033339535011061835	10.438871453794349	2.6002115484969788	21.43037654365475	LOCALLY_SOLVED
1.5	4.0	0.15	1.0	0.3	0.5	0.02630652656308358	10.458676012044013	2.6228591329218545	21.195219582205894	LOCALLY_SOLVED
2.0	4.0	0.15	1.0	0.3	0.5	0.019279017846451443	10.478529967249084	2.645574476589962	20.96121163832085	LOCALLY_SOLVED
1.0	3.0	0.1	1.5	0.3	0.5	-0.01807489695481062	10.786381059076803	2.8189803290371227	20.779430433810276	LOCALLY_SOLVED
1.5	3.0	0.1	1.5	0.3	0.5	-0.02257808280420363	10.799669151105826	2.8341828876540593	20.62523448891751	LOCALLY_SOLVED
2.0	3.0	0.1	1.5	0.3	0.5	-0.027078496710226694	10.812977924266606	2.8494133906008865	20.47155258333902	LOCALLY_SOLVED
1.0	3.5	0.1	1.5	0.3	0.5	-0.01822387504110834	10.753283147588178	2.8109456183597867	20.634140635894624	LOCALLY_SOLVED
