hm	hc	α	c	v	r	z	pd	w	obj	status
1.5	3.5	0.1	1.0	0.4	0.5	0.059149669695479516	10.616740937317534	2.5678241339913104	22.250464617894288	LOCALLY_SOLVED
2.0	3.5	0.1	1.0	0.4	0.5	0.059263660507047934	10.63373666215601	2.559775174748219	22.1010420140448	LOCALLY_SOLVED
1.0	4.0	0.1	1.0	0.4	0.5	0.059149669695479364	10.566740937317535	2.567824133991311	22.250464617894284	LOCALLY_SOLVED
1.5	4.0	0.1	1.0	0.4	0.5	0.05926366050704787	10.583736662156012	2.5597751747482196	22.101042014044793	LOCALLY_SOLVED
2.0	4.0	0.1	1.0	0.4	0.5	0.0593779158410325	10.600734110216244	2.5517278404678194	21.952118952801804	LOCALLY_SOLVED
1.0	3.0	0.15	1.0	0.4	0.5	0.05937791584103265	10.550734110216245	2.55172784046782	21.952118952801804	LOCALLY_SOLVED
1.5	3.0	0.15	1.0	0.4	0.5	0.05954979129934412	10.576233541193329	2.5396599151610584	21.7296709961688	LOCALLY_SOLVED
2.0	3.0	0.15	1.0	0.4	0.5	0.05972225261903967	10.601736921453284	2.5275957219157448	21.508346991896133	LOCALLY_SOLVED
1.0	3.5	0.15	1.0	0.4	0.5	0.059549791299343666	10.50123354119333	2.5396599151610593	21.729670996168792	LOCALLY_SOLVED
1.5	3.5	0.15	1.0	0.4	0.5	0.05972225261904063	10.526736921453283	2.5275957219157417	21.508346991896122	LOCALLY_SOLVED
2.0	3.5	0.15	1.0	0.4	0.5	0.05989529374808628	10.552244294981124	2.5155353072138302	21.28814692869676	LOCALLY_SOLVED
1.0	4.0	0.15	1.0	0.4	0.5	0.059722252619039996	10.451736921453284	2.527595721915744	21.508346991896126	LOCALLY_SOLVED
1.5	4.0	0.15	1.0	0.4	0.5	0.05989529374808606	10.477244294981125	2.5155353072138307	21.288146928696765	LOCALLY_SOLVED
2.0	4.0	0.15	1.0	0.4	0.5	0.060068908262898776	10.502755706357593	2.503478718277198	21.069070795140302	LOCALLY_SOLVED
1.0	3.0	0.1	1.5	0.4	0.5	0.001628413636654301	10.795315593548588	2.7696376403105982	20.840032195031863	LOCALLY_SOLVED
1.5	3.0	0.1	1.5	0.4	0.5	0.001539196497668667	10.812255908290782	2.76161506998464	20.694695260537635	LOCALLY_SOLVED
2.0	3.0	0.1	1.5	0.4	0.5	0.001448881929565362	10.829197384862896	2.753594121404503	20.549858519890655	LOCALLY_SOLVED
1.0	3.5	0.1	1.5	0.4	0.5	0.0015391964976685269	10.762255908290781	2.7616150699846407	20.694695260537635	LOCALLY_SOLVED
1.5	3.5	0.1	1.5	0.4	0.5	0.0014488819295657366	10.779197384862893	2.7535941214045017	20.54985851989067	LOCALLY_SOLVED
2.0	3.5	0.1	1.5	0.4	0.5	0.0013574551107654125	10.796140029073914	2.7455748066703425	20.40552197679217	LOCALLY_SOLVED
1.0	4.0	0.1	1.5	0.4	0.5	0.0014488819295658656	10.729197384862895	2.7535941214045017	20.54985851989066	LOCALLY_SOLVED
1.5	4.0	0.1	1.5	0.4	0.5	0.001357455110765224	10.746140029073917	2.745574806670344	20.405521976792166	LOCALLY_SOLVED
2.0	4.0	0.1	1.5	0.4	0.5	0.0012649009843221572	10.763083846744541	2.737557137995761	20.261685635011133	LOCALLY_SOLVED
1.0	3.0	0.15	1.5	0.4	0.5	0.001264900984321708	10.713083846744544	2.7375571379957635	20.261685635011133	LOCALLY_SOLVED
1.5	3.0	0.15	1.5	0.4	0.5	0.0011239225646793546	10.738501786246902	2.7255337483453537	20.046869008224917	LOCALLY_SOLVED
2.0	3.0	0.15	1.5	0.4	0.5	0.0009803205667332784	10.763922398881526	2.7135141321929734	19.833177856307785	LOCALLY_SOLVED
1.0	3.5	0.15	1.5	0.4	0.5	0.0011239225646797345	10.6635017862469	2.7255337483453523	20.046869008224913	LOCALLY_SOLVED
1.5	3.5	0.15	1.5	0.4	0.5	0.000980320566733914	10.688922398881527	2.7135141321929717	19.83317785630778	LOCALLY_SOLVED
2.0	3.5	0.15	1.5	0.4	0.5	0.0008340410579865603	10.71434570441885	2.701498332233123	19.62061219288015	LOCALLY_SOLVED
1.0	4.0	0.15	1.5	0.4	0.5	0.0009803205667339807	10.613922398881524	2.7135141321929717	19.833177856307785	LOCALLY_SOLVED
1.5	4.0	0.15	1.5	0.4	0.5	0.0008340410579862918	10.63934570441885	2.7014983322331236	19.620612192880152	LOCALLY_SOLVED
2.0	4.0	0.15	1.5	0.4	0.5	0.0006850287988397601	10.664771722669045	2.689486391766288	19.409172031941555	LOCALLY_SOLVED
1.0	3.0	0.1	2.0	0.4	0.5	-0.053451344754089705	10.955803435887484	2.9536700475050255	19.205793289428918	LOCALLY_SOLVED
1.5	3.0	0.1	2.0	0.4	0.5	-0.05372872496339793	10.972681284875131	2.945669665252836	19.065621534836026	LOCALLY_SOLVED
2.0	3.0	0.1	2.0	0.4	0.5	-0.05400843449882212	10.989559678909254	2.937670883074807	18.92595109365439	LOCALLY_SOLVED
1.0	3.5	0.1	2.0	0.4	0.5	-0.05372872496339896	10.922681284875132	2.9456696652528387	19.065621534836037	LOCALLY_SOLVED
1.5	3.5	0.1	2.0	0.4	0.5	-0.05400843449882233	10.939559678909252	2.9376708830748073	18.925951093654394	LOCALLY_SOLVED
2.0	3.5	0.1	2.0	0.4	0.5	-0.05429050000598501	10.956438616251734	2.9296737117523333	18.78678198063768	LOCALLY_SOLVED
1.0	4.0	0.1	2.0	0.4	0.5	-0.054008434498822096	10.889559678909253	2.937670883074807	18.92595109365439	LOCALLY_SOLVED
1.5	4.0	0.1	2.0	0.4	0.5	-0.05429050000598493	10.906438616251735	2.9296737117523333	18.786781980637677	LOCALLY_SOLVED
2.0	4.0	0.1	2.0	0.4	0.5	-0.05457494851616403	10.923318095063053	2.9216781621542753	18.648114210750098	LOCALLY_SOLVED
1.0	3.0	0.15	2.0	0.4	0.5	-0.05457494851616401	10.873318095063054	2.921678162154276	18.6481142107501	LOCALLY_SOLVED
1.5	3.0	0.15	2.0	0.4	0.5	-0.05500614951043224	10.898638324253094	2.9096879024832663	18.441052607548112	LOCALLY_SOLVED
2.0	3.0	0.15	2.0	0.4	0.5	-0.05544286830555561	10.923959760335343	2.897701353722229	18.235119112739625	LOCALLY_SOLVED
1.0	3.5	0.15	2.0	0.4	0.5	-0.055006149510432555	10.823638324253094	2.9096879024832676	18.44105260754811	LOCALLY_SOLVED
1.5	3.5	0.15	2.0	0.4	0.5	-0.055442868305554935	10.84895976033534	2.897701353722226	18.235119112739618	LOCALLY_SOLVED
2.0	3.5	0.15	2.0	0.4	0.5	-0.055885201224374105	10.874282395731736	2.885718553682703	18.030313779607297	LOCALLY_SOLVED
1.0	4.0	0.15	2.0	0.4	0.5	-0.05544286830555495	10.77395976033534	2.8977013537222263	18.235119112739618	LOCALLY_SOLVED
1.5	4.0	0.15	2.0	0.4	0.5	-0.055885201224374084	10.799282395731737	2.8857185536827035	18.030313779607297	LOCALLY_SOLVED
2.0	4.0	0.15	2.0	0.4	0.5	-0.05633324672100743	10.824606222277495	2.873739540637526	17.826636662595924	LOCALLY_SOLVED
1.0	3.0	0.1	1.0	0.2	1.0	-0.29461196654711985	11.661272209381263	7.55421947873211	16.573161314424155	LOCALLY_SOLVED
1.5	3.0	0.1	1.0	0.2	1.0	-0.2945142426048893	11.673977827642293	7.529525290412462	16.461580077192274	LOCALLY_SOLVED
2.0	3.0	0.1	1.0	0.2	1.0	-0.2944160796277067	11.686684652703637	7.5048330500734215	16.350373561670185	LOCALLY_SOLVED
1.0	3.5	0.1	1.0	0.2	1.0	-0.29451424260489	11.623977827642292	7.529525290412463	16.46158007719227	LOCALLY_SOLVED
1.5	3.5	0.1	1.0	0.2	1.0	-0.2944160796277072	11.636684652703636	7.504833050073426	16.350373561670196	LOCALLY_SOLVED
2.0	3.5	0.1	1.0	0.2	1.0	-0.29431747533114777	11.649392694831734	7.480142775891631	16.23954176543011	LOCALLY_SOLVED
1.0	4.0	0.1	1.0	0.2	1.0	-0.29441607962770683	11.586684652703637	7.504833050073423	16.35037356167018	LOCALLY_SOLVED
1.5	4.0	0.1	1.0	0.2	1.0	-0.29431747533114727	11.599392694831732	7.48014277589163	16.239541765430104	LOCALLY_SOLVED
2.0	4.0	0.1	1.0	0.2	1.0	-0.29421842742754467	11.612101964404507	7.4554544862644425	16.129084686017013	LOCALLY_SOLVED
1.0	3.0	0.15	1.0	0.2	1.0	-0.2942184274275445	11.562101964404508	7.455454486264442	16.129084686017013	LOCALLY_SOLVED
1.5	3.0	0.15	1.0	0.2	1.0	-0.29406901879770597	11.581168193202387	7.418425813659794	15.964101655509419	LOCALLY_SOLVED
2.0	3.0	0.15	1.0	0.2	1.0	-0.29391859915719054	11.600237243272577	7.381401712063864	15.799961723772316	LOCALLY_SOLVED
1.0	3.5	0.15	1.0	0.2	1.0	-0.29406901879770597	11.506168193202386	7.418425813659794	15.964101655509406	LOCALLY_SOLVED
