hm	hc	α	c	v	z	pc	ζ	obj	status
3.0	1.0	0.05	1.0	0.2	0.8123386516405608	8.87599650381915	-2.482289320939907e-9	35.157698908569365	LOCALLY_SOLVED
3.5	1.0	0.05	1.0	0.2	0.812062639793175	8.888474905966353	-2.482289320940193e-9	35.04190287287674	LOCALLY_SOLVED
4.0	1.0	0.05	1.0	0.2	0.8117858127165024	8.900953212438585	-2.482289320940475e-9	34.92629466186875	LOCALLY_SOLVED
4.5	1.0	0.05	1.0	0.2	0.811508166780837	8.913431422668683	-2.4822893209407674e-9	34.810874276984784	LOCALLY_SOLVED
5.0	1.0	0.05	1.0	0.2	0.8112296983347987	8.925909536085255	-2.4822893209410507e-9	34.69564171967276	LOCALLY_SOLVED
3.0	1.5	0.05	1.0	0.2	0.812062639793175	8.863474905966353	-2.482289320940202e-9	35.04190287287675	LOCALLY_SOLVED
3.5	1.5	0.05	1.0	0.2	0.8117858127165024	8.875953212438587	-2.482289320940475e-9	34.92629466186875	LOCALLY_SOLVED
4.0	1.5	0.05	1.0	0.2	0.811508166780837	8.888431422668683	-2.4822893209407765e-9	34.8108742769848	LOCALLY_SOLVED
4.5	1.5	0.05	1.0	0.2	0.8112296983347987	8.900909536085257	-2.48228932094106e-9	34.695641719672764	LOCALLY_SOLVED
5.0	1.5	0.05	1.0	0.2	0.8109504037051717	8.91338755211266	-2.48228932094133e-9	34.580596991389164	LOCALLY_SOLVED
3.0	2.0	0.05	1.0	0.2	0.8117858127165024	8.850953212438586	-2.482289320940493e-9	34.92629466186875	LOCALLY_SOLVED
3.5	2.0	0.05	1.0	0.2	0.811508166780837	8.863431422668684	-2.4822893209407674e-9	34.810874276984784	LOCALLY_SOLVED
4.0	2.0	0.05	1.0	0.2	0.8112296983347986	8.875909536085256	-2.482289320941042e-9	34.695641719672764	LOCALLY_SOLVED
4.5	2.0	0.05	1.0	0.2	0.8109504037051718	8.888387552112658	-2.4822893209413303e-9	34.580596991389164	LOCALLY_SOLVED
5.0	2.0	0.05	1.0	0.2	0.8106702791967398	8.900865470170949	-2.4822893209415975e-9	34.46574009359921	LOCALLY_SOLVED
3.0	1.0	0.1	1.0	0.2	0.8101075256515996	8.925821010038717	-2.482289320942158e-9	34.23658979540464	LOCALLY_SOLVED
3.5	1.0	0.1	1.0	0.2	0.8095414076913054	8.950776150961623	-2.482289320942704e-9	34.00819083698631	LOCALLY_SOLVED
4.0	1.0	0.1	1.0	0.2	0.808971894945009	8.975730888141479	-2.4822893209432402e-9	33.780543230384346	LOCALLY_SOLVED
4.5	1.0	0.1	1.0	0.2	0.8083989566735597	9.000685216707547	-2.482289320943785e-9	33.55364698778394	LOCALLY_SOLVED
5.0	1.0	0.1	1.0	0.2	0.807822561763874	9.02563913171521	-2.48228932094432e-9	33.32750212151745	LOCALLY_SOLVED
3.0	1.5	0.1	1.0	0.2	0.8095414076913054	8.900776150961622	-2.4822893209427117e-9	34.0081908369863	LOCALLY_SOLVED
3.5	1.5	0.1	1.0	0.2	0.808971894945009	8.925730888141478	-2.48228932094324e-9	33.780543230384346	LOCALLY_SOLVED
4.0	1.5	0.1	1.0	0.2	0.8083989566735597	8.950685216707546	-2.482289320943777e-9	33.553646987783935	LOCALLY_SOLVED
4.5	1.5	0.1	1.0	0.2	0.807822561763874	8.975639131715209	-2.48228932094432e-9	33.32750212151745	LOCALLY_SOLVED
5.0	1.5	0.1	1.0	0.2	0.8072426787232008	9.000592628144624	-2.4822893209448388e-9	33.10210864406676	LOCALLY_SOLVED
3.0	2.0	0.1	1.0	0.2	0.808971894945009	8.87573088814148	-2.48228932094324e-9	33.780543230384346	LOCALLY_SOLVED
3.5	2.0	0.1	1.0	0.2	0.8083989566735597	8.900685216707547	-2.482289320943778e-9	33.55364698778394	LOCALLY_SOLVED
4.0	2.0	0.1	1.0	0.2	0.8078225617638739	8.925639131715208	-2.4822893209443094e-9	33.327502121517455	LOCALLY_SOLVED
4.5	2.0	0.1	1.0	0.2	0.8072426787232008	8.950592628144623	-2.482289320944838e-9	33.10210864406677	LOCALLY_SOLVED
5.0	2.0	0.1	1.0	0.2	0.8066592756732816	8.975545700899337	-2.4822893209453405e-9	32.877466568065486	LOCALLY_SOLVED
3.0	1.0	0.15	1.0	0.2	0.807822561763874	8.975639131715209	-2.48228932094432e-9	33.32750212151745	LOCALLY_SOLVED
3.5	1.0	0.15	1.0	0.2	0.806951419207009	9.013069217802878	-2.4822893209450997e-9	32.98969368008936	LOCALLY_SOLVED
4.0	1.0	0.15	1.0	0.2	0.8060723203443999	9.050498344804874	-2.4822893209458657e-9	32.65357590630127	LOCALLY_SOLVED
4.5	1.0	0.15	1.0	0.2	0.8051851552582342	9.087926495055884	-2.4822893209466218e-9	32.319148843707964	LOCALLY_SOLVED
5.0	1.0	0.15	1.0	0.2	0.804289811986883	9.125353650480806	-2.48228932094735e-9	31.986412536668407	LOCALLY_SOLVED
